accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score,time_of_day,is_weekend_str
64,Delhi,Delhi,28.57021146082241,77.13914580858895,2024-08-17,18:00,18,Tuesday,0,highway,3,1,clear,medium,24,high,distraction,fatal,2,2,0,,0.77,Evening,Weekday
65,Delhi,Delhi,28.54868527156274,77.28681449443873,2023-12-11,04:00,4,Friday,0,highway,2,1,fog,low,18,high,distraction,minor,1,0,0,,0.74,Night,Weekday
66,Kolkata,West Bengal,22.557970514877788,88.46356205426791,2022-09-22,01:00,1,Saturday,1,highway,2,1,clear,high,21,high,weather,minor,2,2,1,,0.53,Night,Weekend
67,Mumbai,Maharashtra,19.133415994542087,72.85197972447236,2022-02-27,02:00,2,Thursday,0,rural,2,1,fog,low,17,medium,poor road,minor,5,5,0,,0.63,Night,Weekday
68,Delhi,Delhi,28.51515045662796,77.23847408337356,2024-04-23,21:00,21,Wednesday,0,urban,2,0,fog,low,36,low,weather,minor,3,1,0,,0.56,Night,Weekday
69,Delhi,Delhi,28.54225275595601,77.29575818499093,2023-05-26,01:00,1,Saturday,1,highway,1,1,clear,high,34,high,drunk driving,minor,1,1,0,,0.72,Night,Weekend
70,Bangalore,Karnataka,13.035987428779034,77.59340416089391,2024-11-26,08:00,8,Sunday,1,urban,4,1,rain,medium,38,medium,weather,minor,3,3,1,,0.35,Morning,Weekend
71,Hyderabad,Telangana,17.341289466427458,78.57588432334784,2024-03-03,04:00,4,Friday,0,urban,3,0,rain,medium,19,high,distraction,major,2,2,0,,0.66,Night,Weekday
72,Chandigarh,Chandigarh,30.74168665861629,76.75903027910127,2023-03-24,01:00,1,Wednesday,0,urban,3,1,clear,high,21,low,distraction,minor,5,5,0,,0.44,Night,Weekday
73,Kolkata,West Bengal,22.66067994153512,88.39194064278556,2022-09-21,02:00,2,Tuesday,0,urban,2,1,clear,medium,19,high,poor road,minor,1,1,0,,0.56,Night,Weekday
74,Bangalore,Karnataka,12.957928840369004,77.52942372464196,2024-02-25,17:00,17,Thursday,0,urban,3,1,rain,medium,29,medium,weather,minor,2,0,0,,0.4,Evening,Weekday
75,Delhi,Delhi,28.52001267760186,77.12888808938553,2022-05-02,16:00,16,Sunday,1,highway,2,1,clear,high,23,high,poor road,minor,4,0,1,,0.36,Afternoon,Weekend
76,Bangalore,Karnataka,12.89963126926066,77.65728454298197,2023-09-05,23:00,23,Friday,0,highway,2,1,clear,high,39,high,drunk driving,minor,2,1,0,,0.7,Night,Weekday
77,Mumbai,Maharashtra,19.016630257093176,72.89720607555897,2025-04-14,02:00,2,Saturday,1,urban,3,1,clear,high,39,low,drunk driving,fatal,2,0,0,,0.79,Night,Weekend
78,Hyderabad,Telangana,17.43644991304494,78.51205741219212,2023-03-28,04:00,4,Sunday,1,urban,3,1,clear,medium,27,high,distraction,minor,5,5,0,,0.66,Night,Weekend
79,Hyderabad,Telangana,17.32308156575169,78.3935231174316,2025-01-31,18:00,18,Saturday,1,urban,2,1,fog,low,19,medium,overspeeding,minor,3,1,0,,0.69,Evening,Weekend
80,Kolkata,West Bengal,22.62304179492171,88.30440083466078,2024-03-01,23:00,23,Thursday,0,highway,2,0,clear,high,36,medium,poor road,minor,3,1,0,,0.36,Night,Weekday
81,Delhi,Delhi,28.620640564343645,77.173906295326,2024-06-14,03:00,3,Saturday,1,highway,3,0,clear,high,37,medium,drunk driving,minor,3,0,0,,0.63,Night,Weekend
82,Delhi,Delhi,28.590273790678417,77.16292199169108,2024-11-05,11:00,11,Sunday,1,rural,2,1,clear,high,30,low,drunk driving,minor,1,0,0,,0.58,Morning,Weekend
83,Chennai,Tamil Nadu,13.083791925740968,80.1937484583129,2022-04-11,00:00,0,Wednesday,0,urban,3,1,clear,high,38,high,overspeeding,minor,3,0,0,,0.59,Night,Weekday
84,Hyderabad,Telangana,17.46699259452204,78.57516061163966,2023-04-21,03:00,3,Monday,0,highway,1,1,clear,high,40,high,weather,major,2,2,0,,0.61,Night,Weekday
85,Chennai,Tamil Nadu,13.040440354616276,80.2994174993757,2025-01-23,18:00,18,Wednesday,0,urban,3,0,clear,high,36,medium,drunk driving,minor,3,2,1,,0.47,Evening,Weekday
86,Chennai,Tamil Nadu,13.102609539926142,80.26219884212055,2023-12-07,11:00,11,Sunday,1,urban,2,1,clear,high,25,high,overspeeding,major,5,1,0,,0.57,Morning,Weekend
87,Hyderabad,Telangana,17.358030011710326,78.52199197170879,2024-04-24,16:00,16,Saturday,1,urban,4,0,rain,medium,30,low,overspeeding,minor,5,5,0,,0.47,Afternoon,Weekend
88,Delhi,Delhi,28.619927996805885,77.27398669596111,2022-09-28,05:00,5,Tuesday,0,highway,2,0,clear,high,19,low,overspeeding,minor,5,4,0,,0.45,Morning,Weekday
89,Delhi,Delhi,28.6076757337572,77.26739755189274,2025-02-16,14:00,14,Friday,0,highway,3,0,clear,medium,24,medium,drunk driving,minor,2,1,0,,0.53,Afternoon,Weekday
90,Mumbai,Maharashtra,19.15251560451044,72.92327674332103,2022-09-24,20:00,20,Sunday,1,highway,2,1,rain,low,20,low,overspeeding,minor,1,1,0,,0.77,Evening,Weekend
91,Chandigarh,Chandigarh,30.673399881496728,76.83978012662321,2022-10-14,11:00,11,Saturday,1,highway,3,0,clear,high,38,high,overspeeding,minor,5,3,0,,0.5,Morning,Weekend
92,Delhi,Delhi,28.62491171974657,77.15799037191373,2024-11-14,09:00,9,Wednesday,0,urban,2,0,clear,high,35,high,distraction,minor,3,1,0,,0.34,Morning,Weekday
93,Bangalore,Karnataka,12.964178721019833,77.65015355993886,2025-03-14,03:00,3,Tuesday,0,urban,3,1,fog,low,18,high,overspeeding,major,5,5,1,,0.88,Night,Weekday
94,Chennai,Tamil Nadu,13.083281625478964,80.26629210850436,2023-09-19,03:00,3,Monday,0,highway,4,0,fog,low,19,medium,drunk driving,major,2,1,1,,0.92,Night,Weekday
95,Hyderabad,Telangana,17.402642628237583,78.54449417031037,2024-06-06,04:00,4,Thursday,0,urban,2,0,clear,high,35,high,drunk driving,fatal,4,4,0,,0.82,Night,Weekday
96,Delhi,Delhi,28.59045570510144,77.2345533005792,2022-09-05,02:00,2,Monday,0,urban,4,1,clear,high,37,high,drunk driving,minor,3,3,0,,0.67,Night,Weekday
97,Delhi,Delhi,28.697699128121283,77.1774108158752,2024-08-03,02:00,2,Wednesday,0,highway,3,0,clear,high,27,medium,poor road,minor,3,0,0,,0.41,Night,Weekday
98,Hyderabad,Telangana,17.370547653760177,78.47185953040722,2023-03-22,00:00,0,Monday,0,urban,1,0,clear,high,16,high,drunk driving,minor,4,4,1,,0.62,Night,Weekday
99,Mumbai,Maharashtra,19.060927025881952,72.8810440634988,2022-04-17,10:00,10,Friday,0,urban,3,0,clear,medium,34,high,poor road,major,5,2,0,,0.51,Morning,Weekday
100,Chandigarh,Chandigarh,30.693660458524032,76.70985886070316,2023-08-05,12:00,12,Wednesday,0,highway,2,1,fog,low,36,high,overspeeding,minor,4,2,1,,0.73,Afternoon,Weekday
101,Bangalore,Karnataka,12.872024785390652,77.64588146159842,2023-07-16,00:00,0,Tuesday,0,urban,2,1,clear,high,40,high,drunk driving,major,3,1,0,,0.68,Night,Weekday
102,Kolkata,West Bengal,22.64456500137011,88.39189066229488,2023-04-24,00:00,0,Thursday,0,urban,3,1,clear,medium,26,low,drunk driving,major,1,1,0,,0.77,Night,Weekday
103,Kolkata,West Bengal,22.48620486208095,88.4217192527888,2022-10-26,15:00,15,Friday,0,urban,2,0,fog,low,25,low,overspeeding,major,1,0,0,,0.68,Afternoon,Weekday
104,Chennai,Tamil Nadu,13.022947018675122,80.28064798888467,2023-12-10,03:00,3,Saturday,1,urban,3,0,clear,high,40,high,distraction,minor,4,0,0,,0.54,Night,Weekend
105,Bangalore,Karnataka,12.887077675042784,77.66572271176821,2024-12-09,20:00,20,Sunday,1,urban,4,1,rain,low,23,high,overspeeding,major,1,0,0,,0.86,Evening,Weekend
106,Kolkata,West Bengal,22.488842662773934,88.39964106877973,2024-03-01,21:00,21,Friday,0,urban,4,1,rain,low,39,high,weather,minor,5,1,0,,0.67,Night,Weekday
107,Chennai,Tamil Nadu,13.149374948629642,80.26622822190721,2023-11-22,05:00,5,Saturday,1,highway,1,1,clear,high,15,medium,drunk driving,minor,5,1,0,,0.54,Morning,Weekend
108,Bangalore,Karnataka,13.04688612239234,77.60517382679767,2023-12-20,23:00,23,Monday,0,urban,2,0,clear,high,29,high,distraction,minor,2,1,0,,0.51,Night,Weekday
109,Bangalore,Karnataka,12.938586294433438,77.61198705720126,2024-02-03,04:00,4,Friday,0,urban,2,0,clear,high,27,high,drunk driving,minor,1,0,0,,0.64,Night,Weekday
110,Chandigarh,Chandigarh,30.763085958409043,76.8219808456496,2024-11-19,00:00,0,Friday,0,urban,3,0,rain,low,34,high,overspeeding,minor,5,5,0,,0.76,Night,Weekday
111,Delhi,Delhi,28.59759334376601,77.14024726712518,2025-02-15,03:00,3,Wednesday,0,urban,2,0,rain,low,31,high,overspeeding,minor,3,0,1,,0.76,Night,Weekday
112,Delhi,Delhi,28.517549473114897,77.23382085220594,2022-09-07,20:00,20,Sunday,1,rural,4,0,clear,high,17,high,overspeeding,fatal,5,2,0,,0.81,Evening,Weekend
113,Bangalore,Karnataka,13.003581137826254,77.67590101225521,2024-07-07,02:00,2,Tuesday,0,urban,4,1,rain,medium,34,low,drunk driving,minor,4,1,1,,0.61,Night,Weekday
114,Mumbai,Maharashtra,19.07475336065855,72.86082884942103,2024-08-31,05:00,5,Thursday,0,urban,2,0,clear,high,31,medium,drunk driving,minor,1,1,0,,0.44,Morning,Weekday
115,Chennai,Tamil Nadu,13.135142077031634,80.31330259478297,2022-02-12,04:00,4,Thursday,0,highway,2,1,clear,high,17,medium,drunk driving,minor,3,1,0,,0.65,Night,Weekday
116,Bangalore,Karnataka,12.912137013018157,77.57534801402713,2023-11-23,23:00,23,Wednesday,0,urban,2,0,fog,low,24,low,drunk driving,minor,2,1,0,,0.74,Night,Weekday
117,Bangalore,Karnataka,12.95577133021511,77.67923885228721,2022-04-20,00:00,0,Sunday,1,urban,3,0,clear,high,36,low,overspeeding,minor,4,4,0,,0.59,Night,Weekend
118,Chennai,Tamil Nadu,13.00254854187543,80.25998343115411,2023-06-09,12:00,12,Sunday,1,rural,3,0,clear,high,18,medium,drunk driving,minor,1,1,0,,0.48,Afternoon,Weekend
119,Chandigarh,Chandigarh,30.72727279484945,76.75532212736746,2024-11-28,22:00,22,Thursday,0,urban,2,0,rain,medium,26,medium,overspeeding,minor,3,0,1,,0.62,Night,Weekday
120,Mumbai,Maharashtra,19.103981606010706,72.8892224396318,2023-06-23,22:00,22,Monday,0,urban,3,0,clear,high,20,high,overspeeding,major,4,0,0,,0.7,Night,Weekday
121,Mumbai,Maharashtra,19.09220008664482,72.96991380930842,2024-09-07,05:00,5,Wednesday,0,urban,2,1,rain,medium,15,medium,drunk driving,minor,3,2,0,,0.5,Morning,Weekday
122,Delhi,Delhi,28.536811592654296,77.16064207419407,2022-11-08,19:00,19,Friday,0,urban,2,0,clear,high,16,high,distraction,minor,4,1,1,,0.49,Evening,Weekday
123,Mumbai,Maharashtra,19.17063083425138,72.92665279638733,2022-09-02,02:00,2,Sunday,1,highway,3,1,clear,high,25,medium,drunk driving,fatal,3,1,0,,0.78,Night,Weekend
124,Hyderabad,Telangana,17.397387353822523,78.49331556844847,2022-09-09,12:00,12,Tuesday,0,urban,2,0,rain,medium,40,medium,overspeeding,minor,2,0,0,,0.41,Afternoon,Weekday
125,Hyderabad,Telangana,17.347364320666284,78.53904343373583,2024-07-14,17:00,17,Sunday,1,urban,2,1,rain,medium,38,high,distraction,minor,4,3,0,,0.62,Evening,Weekend
126,Delhi,Delhi,28.58025403537504,77.17667878291613,2023-10-24,02:00,2,Thursday,0,urban,2,0,clear,high,36,medium,overspeeding,minor,3,3,0,,0.54,Night,Weekday
127,Bangalore,Karnataka,13.05587687236264,77.57485345874207,2022-06-12,01:00,1,Sunday,1,highway,2,0,rain,medium,17,high,overspeeding,minor,3,1,0,,0.78,Night,Weekend
128,Bangalore,Karnataka,12.994678887018454,77.52864626643704,2022-12-05,20:00,20,Monday,0,urban,3,1,clear,high,20,low,overspeeding,minor,2,2,0,,0.42,Evening,Weekday
129,Mumbai,Maharashtra,19.016100963620502,72.93209026431752,2023-04-12,02:00,2,Saturday,1,urban,2,0,clear,high,31,high,overspeeding,minor,1,1,0,,0.61,Night,Weekend
130,Bangalore,Karnataka,12.874878807978046,77.67095168981204,2022-07-06,16:00,16,Sunday,1,urban,3,1,fog,low,22,high,poor road,minor,1,1,0,,0.55,Afternoon,Weekend
131,Bangalore,Karnataka,12.996506599749187,77.60118987816215,2024-01-17,02:00,2,Wednesday,0,urban,3,0,clear,high,24,high,drunk driving,fatal,4,2,0,,0.82,Night,Weekday
132,Delhi,Delhi,28.559607865559503,77.12818230406273,2022-06-27,01:00,1,Saturday,1,urban,3,0,rain,low,19,low,drunk driving,minor,2,2,0,,0.75,Night,Weekend
133,Kolkata,West Bengal,22.640576851338555,88.29279130439812,2025-01-21,23:00,23,Monday,0,urban,2,0,clear,high,31,high,overspeeding,minor,3,0,0,,0.56,Night,Weekday
134,Pune,Maharashtra,18.51359848826703,73.7777790456398,2023-10-30,19:00,19,Friday,0,highway,4,0,clear,high,34,high,overspeeding,major,4,3,1,,0.67,Evening,Weekday
135,Pune,Maharashtra,18.561250682235364,73.78075110556716,2023-09-24,00:00,0,Saturday,1,rural,3,1,clear,high,25,low,overspeeding,fatal,5,5,0,,0.74,Night,Weekend
136,Delhi,Delhi,28.68421398427666,77.19389323398,2023-07-08,17:00,17,Thursday,0,urban,3,1,clear,high,28,high,distraction,minor,3,2,0,,0.42,Evening,Weekday
137,Bangalore,Karnataka,12.99447969321102,77.59765856823913,2023-07-23,05:00,5,Thursday,0,urban,2,0,clear,high,17,medium,overspeeding,minor,1,0,0,,0.32,Morning,Weekday
138,Bangalore,Karnataka,12.918753406438045,77.5261252962387,2022-11-28,22:00,22,Sunday,1,highway,2,0,clear,medium,20,high,drunk driving,major,5,2,0,,0.9,Night,Weekend
139,Chennai,Tamil Nadu,13.122095344444377,80.25420076670021,2024-02-13,02:00,2,Sunday,1,urban,1,1,clear,high,30,high,drunk driving,minor,3,0,1,,0.68,Night,Weekend
140,Delhi,Delhi,28.68797046278646,77.19809727087117,2024-09-21,15:00,15,Saturday,1,urban,3,0,rain,medium,32,low,poor road,minor,1,0,1,,0.39,Afternoon,Weekend
141,Mumbai,Maharashtra,19.065234720905497,72.95942638338688,2024-11-23,03:00,3,Sunday,1,urban,2,1,clear,medium,17,medium,overspeeding,fatal,4,4,0,,0.79,Night,Weekend
142,Bangalore,Karnataka,13.023801980421483,77.6085638299932,2024-10-22,02:00,2,Saturday,1,urban,3,1,clear,medium,36,low,overspeeding,minor,1,0,0,,0.64,Night,Weekend
143,Bangalore,Karnataka,13.02019586434614,77.68208303193482,2023-12-27,02:00,2,Friday,0,urban,4,0,clear,high,29,medium,overspeeding,major,1,0,0,,0.56,Night,Weekday
144,Pune,Maharashtra,18.60047210487443,73.91712957162046,2022-06-05,23:00,23,Saturday,1,urban,2,1,clear,high,38,low,distraction,minor,3,3,0,,0.48,Night,Weekend
145,Chennai,Tamil Nadu,12.993938846084022,80.1771980521128,2023-01-27,23:00,23,Thursday,0,highway,2,0,rain,medium,28,high,overspeeding,minor,2,1,0,,0.79,Night,Weekday
